o1,155.0,77.5
o2,154.0,77.0
o3,149.0,74.5
o4,156.0,78.0
o5,143.0,71.5
o12,131.0,43.666666666666664
o13,118.0,39.333333333333336
o14,125.0,41.666666666666664
o15,116.0,38.666666666666664
o23,112.0,37.333333333333336
o24,123.0,41.0
o25,120.0,40.0
o34,121.0,40.333333333333336
o35,122.0,40.666666666666664
o45,119.0,39.666666666666664
o123,119.0,29.75
o124,122.0,30.5
o125,121.0,30.25
o134,120.0,30.0
o135,123.0,30.75
o145,112.0,28.0
o234,116.0,29.0
o235,125.0,31.25
o245,118.0,29.5
o345,131.0,32.75
o1234,143.0,28.6
o1235,156.0,31.2
o1245,149.0,29.8
o1345,154.0,30.8
o2345,155.0,31.0
o12345,171.0,28.5
